	sponsor	cosponsor
151	Rep. Higgins, Clay [R-LA-3]	Rep. Carter, Troy A. [D-LA-2]
152	Rep. Gimenez, Carlos A. [R-FL-28]	Rep. Garamendi, John [D-CA-8]
153	Rep. Gimenez, Carlos A. [R-FL-28]	Rep. Higgins, Clay [R-LA-3]
154	Rep. Gimenez, Carlos A. [R-FL-28]	Rep. Nehls, Troy E. [R-TX-22]
155	Rep. Gimenez, Carlos A. [R-FL-28]	Rep. Donalds, Byron [R-FL-19]
156	Rep. Gimenez, Carlos A. [R-FL-28]	Rep. Luna, Anna Paulina [R-FL-13]
157	Rep. Gimenez, Carlos A. [R-FL-28]	Rep. Kiggans, Jennifer A [R-VA-2]
158	Rep. Gimenez, Carlos A. [R-FL-28]	Rep. Deluzio, Christopher R. [D-PA-17]
159	Rep. Gimenez, Carlos A. [R-FL-28]	Rep. Green, Mark E. [R-TN-7]
160	Rep. Kim, Andy [D-NJ-3]	Rep. Raskin, Jamie [D-MD-8]
161	Rep. Kim, Andy [D-NJ-3]	Rep. Garcia, Robert [D-CA-42]
162	Rep. Kim, Andy [D-NJ-3]	Del. Norton, Eleanor Holmes [D-DC-At Large]
163	Rep. Kim, Andy [D-NJ-3]	Rep. Grijalva, Raúl M. [D-AZ-7]
164	Rep. Kim, Andy [D-NJ-3]	Rep. Ramirez, Delia C. [D-IL-3]
165	Rep. Kim, Andy [D-NJ-3]	Rep. Amo, Gabe [D-RI-1]
166	Rep. Kim, Andy [D-NJ-3]	"Rep. Johnson, Henry C. ""Hank"" [D-GA-4]"
167	Rep. Kim, Andy [D-NJ-3]	Rep. Lee, Barbara [D-CA-12]
168	Rep. Kim, Andy [D-NJ-3]	Rep. Goldman, Daniel S. [D-NY-10]
169	Rep. Kim, Andy [D-NJ-3]	Rep. Williams, Nikema [D-GA-5]
170	Rep. Kim, Andy [D-NJ-3]	Rep. Schakowsky, Janice D. [D-IL-9]
171	Rep. Kim, Andy [D-NJ-3]	Rep. Frost, Maxwell [D-FL-10]
172	Rep. Kim, Andy [D-NJ-3]	Rep. Carson, André [D-IN-7]
173	Rep. Kim, Andy [D-NJ-3]	Rep. Lee, Summer L. [D-PA-12]
174	Rep. Kim, Andy [D-NJ-3]	Rep. Chu, Judy [D-CA-28]
175	Rep. Kim, Andy [D-NJ-3]	Rep. Omar, Ilhan [D-MN-5]
176	Rep. Kim, Andy [D-NJ-3]	Rep. Torres, Ritchie [D-NY-15]
177	Rep. Kim, Andy [D-NJ-3]	"Rep. García, Jesús G. ""Chuy"" [D-IL-4]"
178	Rep. Kim, Andy [D-NJ-3]	Rep. Doggett, Lloyd [D-TX-37]
179	Rep. Kim, Andy [D-NJ-3]	Rep. Moore, Gwen [D-WI-4]
180	Rep. Kim, Andy [D-NJ-3]	Rep. Garcia, Sylvia R. [D-TX-29]
181	Rep. Kim, Andy [D-NJ-3]	Rep. DeSaulnier, Mark [D-CA-10]
182	Rep. Kim, Andy [D-NJ-3]	Rep. Clarke, Yvette D. [D-NY-9]
183	Rep. Kim, Andy [D-NJ-3]	Rep. Green, Al [D-TX-9]
184	Rep. Kim, Andy [D-NJ-3]	Rep. Scanlon, Mary Gay [D-PA-5]
185	Rep. Kim, Andy [D-NJ-3]	Rep. Tlaib, Rashida [D-MI-12]
186	Rep. Dingell, Debbie [D-MI-6]	Rep. McGovern, James P. [D-MA-2]
187	Rep. Bacon, Don [R-NE-2]	Rep. Schweikert, David [R-AZ-1]
188	Rep. Bacon, Don [R-NE-2]	Rep. LaMalfa, Doug [R-CA-1]
189	Rep. Bacon, Don [R-NE-2]	Rep. Davids, Sharice [D-KS-3]
190	Rep. Bacon, Don [R-NE-2]	Rep. Kildee, Daniel T. [D-MI-8]
191	Rep. Bacon, Don [R-NE-2]	Rep. Peltola, Mary Sattler [D-AK-At Large]
192	Rep. Bacon, Don [R-NE-2]	Rep. Cole, Tom [R-OK-4]
193	Rep. Bacon, Don [R-NE-2]	Rep. Schiff, Adam B. [D-CA-30]
194	Rep. Bacon, Don [R-NE-2]	Rep. Gottheimer, Josh [D-NJ-5]
195	Rep. Bonamici, Suzanne [D-OR-1]	Rep. Wittman, Robert J. [R-VA-1]
196	Rep. Bonamici, Suzanne [D-OR-1]	Rep. Pallone, Frank, Jr. [D-NJ-6]
197	Rep. Bonamici, Suzanne [D-OR-1]	Rep. Pingree, Chellie [D-ME-1]
198	Rep. Bonamici, Suzanne [D-OR-1]	Rep. Case, Ed [D-HI-1]
199	Rep. Bonamici, Suzanne [D-OR-1]	Rep. Kiggans, Jennifer A [R-VA-2]
200	Rep. Bonamici, Suzanne [D-OR-1]	Rep. Tokuda, Jill N. [D-HI-2]
201	Rep. Bonamici, Suzanne [D-OR-1]	Rep. Larson, John B. [D-CT-1]
202	Rep. Bonamici, Suzanne [D-OR-1]	Rep. Kilmer, Derek [D-WA-6]
203	Rep. Bonamici, Suzanne [D-OR-1]	Rep. Magaziner, Seth [D-RI-2]
204	Rep. Bonamici, Suzanne [D-OR-1]	Rep. LaLota, Nick [R-NY-1]
205	Rep. Higgins, Clay [R-LA-3]	Rep. Luna, Anna Paulina [R-FL-13]
206	Rep. Fallon, Pat [R-TX-4]	Rep. Jackson, Ronny [R-TX-13]
207	Rep. Womack, Steve [R-AR-3]	Rep. Murphy, Gregory F. [R-NC-3]
208	Rep. Womack, Steve [R-AR-3]	Rep. Dingell, Debbie [D-MI-6]
209	Rep. Womack, Steve [R-AR-3]	Rep. Slotkin, Elissa [D-MI-7]
210	Rep. Good, Bob [R-VA-5]	Rep. Gosar, Paul A. [R-AZ-9]
211	Rep. Good, Bob [R-VA-5]	Rep. Ogles, Andrew [R-TN-5]
212	Rep. Good, Bob [R-VA-5]	Rep. Higgins, Clay [R-LA-3]
213	Rep. Good, Bob [R-VA-5]	Rep. Babin, Brian [R-TX-36]
214	Rep. Good, Bob [R-VA-5]	Rep. Rosendale, Matthew M. [R-MT-2]
215	Rep. Good, Bob [R-VA-5]	Rep. Moore, Barry [R-AL-2]
216	Rep. Good, Bob [R-VA-5]	Rep. Norman, Ralph [R-SC-5]
217	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Cartwright, Matt [D-PA-8]
218	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Schakowsky, Janice D. [D-IL-9]
219	Rep. Clarke, Yvette D. [D-NY-9]	Rep. DeGette, Diana [D-CO-1]
220	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Barragan, Nanette Diaz [D-CA-44]
221	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Smith, Adam [D-WA-9]
222	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Lynch, Stephen F. [D-MA-8]
223	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Khanna, Ro [D-CA-17]
224	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Bonamici, Suzanne [D-OR-1]
225	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Beyer, Donald S., Jr. [D-VA-8]
226	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Sherman, Brad [D-CA-32]
227	Rep. Clarke, Yvette D. [D-NY-9]	Del. Norton, Eleanor Holmes [D-DC-At Large]
228	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Napolitano, Grace F. [D-CA-31]
229	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Cohen, Steve [D-TN-9]
230	Rep. Clarke, Yvette D. [D-NY-9]	Rep. DeSaulnier, Mark [D-CA-10]
231	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Tlaib, Rashida [D-MI-12]
232	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Velazquez, Nydia M. [D-NY-7]
233	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Huffman, Jared [D-CA-2]
234	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Espaillat, Adriano [D-NY-13]
235	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Morelle, Joseph D. [D-NY-25]
236	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Neguse, Joe [D-CO-2]
237	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Schiff, Adam B. [D-CA-30]
238	Rep. Clarke, Yvette D. [D-NY-9]	Rep. Blumenauer, Earl [D-OR-3]
239	Rep. Nehls, Troy E. [R-TX-22]	Rep. Moore, Barry [R-AL-2]
240	Rep. Nehls, Troy E. [R-TX-22]	Rep. Donalds, Byron [R-FL-19]
241	Rep. Nehls, Troy E. [R-TX-22]	Rep. Donalds, Byron [R-FL-19]
242	Rep. Dingell, Debbie [D-MI-6]	Rep. Fitzpatrick, Brian K. [R-PA-1]
243	Rep. Dingell, Debbie [D-MI-6]	Rep. Ryan, Patrick [D-NY-18]
244	Rep. Dingell, Debbie [D-MI-6]	Rep. Sarbanes, John P. [D-MD-3]
245	Rep. Dingell, Debbie [D-MI-6]	Rep. Boyle, Brendan F. [D-PA-2]
246	Rep. Dingell, Debbie [D-MI-6]	Rep. Pappas, Chris [D-NH-1]
247	Rep. Dingell, Debbie [D-MI-6]	Rep. Khanna, Ro [D-CA-17]
248	Rep. Dingell, Debbie [D-MI-6]	Rep. Stevens, Haley M. [D-MI-11]
249	Rep. Dingell, Debbie [D-MI-6]	Rep. Pallone, Frank, Jr. [D-NJ-6]
250	Rep. Dingell, Debbie [D-MI-6]	Rep. Napolitano, Grace F. [D-CA-31]
251	Rep. Dingell, Debbie [D-MI-6]	Rep. Tonko, Paul [D-NY-20]
252	Rep. Dingell, Debbie [D-MI-6]	Rep. Kuster, Ann M. [D-NH-2]
253	Rep. Dingell, Debbie [D-MI-6]	Rep. Soto, Darren [D-FL-9]
254	Rep. Dingell, Debbie [D-MI-6]	Rep. Kildee, Daniel T. [D-MI-8]
255	Rep. Dingell, Debbie [D-MI-6]	Rep. Larsen, Rick [D-WA-2]
256	Rep. Dingell, Debbie [D-MI-6]	Rep. Fletcher, Lizzie [D-TX-7]
257	Rep. Dingell, Debbie [D-MI-6]	Del. Norton, Eleanor Holmes [D-DC-At Large]
258	Rep. Dingell, Debbie [D-MI-6]	Rep. Quigley, Mike [D-IL-5]
259	Rep. Dingell, Debbie [D-MI-6]	Rep. Lawler, Michael [R-NY-17]
260	Rep. Dingell, Debbie [D-MI-6]	Rep. Neguse, Joe [D-CO-2]
261	Rep. Dingell, Debbie [D-MI-6]	Rep. Cohen, Steve [D-TN-9]
262	Rep. Dingell, Debbie [D-MI-6]	Rep. Slotkin, Elissa [D-MI-7]
263	Rep. Dingell, Debbie [D-MI-6]	Rep. Stansbury, Melanie A. [D-NM-1]
264	Rep. Dingell, Debbie [D-MI-6]	Rep. Thanedar, Shri [D-MI-13]
265	Rep. Dingell, Debbie [D-MI-6]	Rep. Phillips, Dean [D-MN-3]
266	Rep. Dingell, Debbie [D-MI-6]	Rep. McClellan, Jennifer L. [D-VA-4]
267	Rep. Dingell, Debbie [D-MI-6]	Rep. Scanlon, Mary Gay [D-PA-5]
268	Rep. Dingell, Debbie [D-MI-6]	Rep. Nadler, Jerrold [D-NY-12]
269	Rep. Dingell, Debbie [D-MI-6]	Rep. Scholten, Hillary J. [D-MI-3]
270	Rep. Dingell, Debbie [D-MI-6]	Rep. Moskowitz, Jared [D-FL-23]
271	Rep. Dingell, Debbie [D-MI-6]	Rep. Castor, Kathy [D-FL-14]
272	Rep. Johnson, Bill [R-OH-6]	Rep. Balderson, Troy [R-OH-12]
273	Rep. Johnson, Bill [R-OH-6]	Rep. Miller, Max L. [R-OH-7]
274	Rep. Johnson, Bill [R-OH-6]	Rep. Latta, Robert E. [R-OH-5]
275	Rep. Johnson, Bill [R-OH-6]	Rep. Davidson, Warren [R-OH-8]
276	Rep. Johnson, Bill [R-OH-6]	Rep. Joyce, David P. [R-OH-14]
277	Rep. Johnson, Bill [R-OH-6]	Rep. Wenstrup, Brad R. [R-OH-2]
278	Rep. Johnson, Bill [R-OH-6]	Rep. Sykes, Emilia Strong [D-OH-13]
279	Rep. Johnson, Bill [R-OH-6]	Rep. Turner, Michael R. [R-OH-10]
280	Rep. Johnson, Bill [R-OH-6]	Rep. Jordan, Jim [R-OH-4]
281	Rep. Johnson, Bill [R-OH-6]	Rep. Carey, Mike [R-OH-15]
282	Rep. Johnson, Bill [R-OH-6]	Rep. Brown, Shontel M. [D-OH-11]
283	Rep. Johnson, Bill [R-OH-6]	Rep. Landsman, Greg [D-OH-1]
284	Rep. Kelly, Trent [R-MS-1]	Rep. Horsford, Steven [D-NV-4]
285	Rep. Kelly, Trent [R-MS-1]	Rep. LaHood, Darin [R-IL-16]
286	Rep. Kelly, Trent [R-MS-1]	Rep. Fitzpatrick, Brian K. [R-PA-1]
287	Rep. Kelly, Trent [R-MS-1]	Rep. Suozzi, Thomas R. [D-NY-3]
288	Rep. Issa, Darrell E. [R-CA-48]	Rep. Hudson, Richard [R-NC-9]
289	Rep. Issa, Darrell E. [R-CA-48]	Rep. Panetta, Jimmy [D-CA-19]
290	Rep. Issa, Darrell E. [R-CA-48]	Rep. Waltz, Michael [R-FL-6]
291	Rep. Issa, Darrell E. [R-CA-48]	Rep. Armstrong, Kelly [R-ND-At Large]
292	Rep. Issa, Darrell E. [R-CA-48]	Rep. Mace, Nancy [R-SC-1]
293	Rep. Issa, Darrell E. [R-CA-48]	Rep. Bacon, Don [R-NE-2]
294	Rep. Issa, Darrell E. [R-CA-48]	Rep. Bergman, Jack [R-MI-1]
295	Rep. Issa, Darrell E. [R-CA-48]	Rep. Garcia, Sylvia R. [D-TX-29]
296	Rep. Issa, Darrell E. [R-CA-48]	Rep. Harder, Josh [D-CA-9]
297	Rep. Issa, Darrell E. [R-CA-48]	Rep. Bishop, Sanford D., Jr. [D-GA-2]
298	Rep. Issa, Darrell E. [R-CA-48]	Rep. Brownley, Julia [D-CA-26]
299	Rep. Issa, Darrell E. [R-CA-48]	Rep. Bera, Ami [D-CA-6]
